'341', '2019-07-04 00:00:00', '06:39:00', '00:45:00', '0'
'342', '2019-07-05 00:00:00', '07:25:00', '00:45:00', '0'
'343', '2019-07-08 00:00:00', '06:59:00', '00:45:00', '0'
'344', '2019-07-09 00:00:00', '07:42:00', '00:45:00', '0'
'345', '2019-07-10 00:00:00', '07:15:00', '00:45:00', '0'
'346', '2019-07-15 00:00:00', '00:00:00', '00:00:00', '2'
'347', '2019-07-16 00:00:00', '00:00:00', '00:00:00', '2'
'348', '2019-07-17 00:00:00', '00:00:00', '00:00:00', '2'
'349', '2019-07-18 00:00:00', '00:00:00', '00:00:00', '2'
'350', '2019-07-19 00:00:00', '00:00:00', '00:00:00', '2'
'352', '2019-07-22 00:00:00', '00:00:00', '00:00:00', '2'
'353', '2019-07-23 00:00:00', '00:00:00', '00:00:00', '2'
'355', '2019-07-24 00:00:00', '00:00:00', '00:00:00', '2'
'356', '2019-07-25 00:00:00', '00:00:00', '00:00:00', '2'
'357', '2019-07-26 00:00:00', '00:00:00', '00:00:00', '2'
'358', '2019-07-29 00:00:00', '00:00:00', '00:00:00', '2'
'359', '2019-07-30 00:00:00', '00:00:00', '00:00:00', '2'
'360', '2019-07-31 00:00:00', '00:00:00', '00:00:00', '2'
'361', '2019-08-01 00:00:00', '00:00:00', '00:00:00', '2'
'362', '2019-08-02 00:00:00', '00:00:00', '00:00:00', '2'
'363', '2019-08-15 00:00:00', '00:00:00', '00:00:00', '2'
'364', '2019-08-16 00:00:00', '00:00:00', '00:00:00', '2'
'365', '2019-07-11 00:00:00', '06:59:00', '00:45:00', '0'
'366', '2019-07-12 00:00:00', '05:25:00', '00:45:00', '0'
'367', '2019-08-07 00:00:00', '07:09:00', '00:45:00', '0'
'368', '2019-08-05 00:00:00', '07:48:00', '00:45:00', '0'
'369', '2019-08-06 00:00:00', '07:06:00', '00:45:00', '0'
'370', '2019-08-08 00:00:00', '07:53:00', '00:45:00', '0'
'371', '2019-08-09 00:00:00', '06:32:00', '00:15:00', '0'
'372', '2019-08-12 00:00:00', '08:11:00', '00:45:00', '0'
'373', '2019-08-13 00:00:00', '08:50:00', '00:30:00', '0'
'374', '2019-08-14 00:00:00', '09:24:00', '00:30:00', '0'
'375', '2019-08-19 00:00:00', '08:29:00', '00:45:00', '0'
'376', '2019-08-20 00:00:00', '05:18:00', '00:30:00', '0'
'377', '2019-08-21 00:00:00', '08:01:00', '00:30:00', '0'
'378', '2019-08-22 00:00:00', '08:19:00', '00:30:00', '0'
'379', '2019-08-23 00:00:00', '05:56:00', '00:15:00', '0'
'380', '2019-08-26 00:00:00', '07:16:00', '00:30:00', '0'
'381', '2019-08-27 00:00:00', '09:21:00', '00:30:00', '0'
'382', '2019-08-28 00:00:00', '07:52:00', '00:45:00', '0'
'383', '2019-08-29 00:00:00', '07:55:00', '00:30:00', '0'
'384', '2019-08-30 00:00:00', '06:01:00', '00:15:00', '0'
'385', '2019-09-02 00:00:00', '07:20:00', '00:30:00', '0'
'386', '2019-09-03 00:00:00', '07:42:00', '00:45:00', '0'
'387', '2019-09-04 00:00:00', '08:14:00', '00:30:00', '0'
'388', '2019-09-05 00:00:00', '07:09:00', '00:30:00', '0'
'389', '2019-09-06 00:00:00', '07:09:00', '00:45:00', '0'
'390', '2019-09-09 00:00:00', '08:44:00', '00:30:00', '0'
'391', '2019-09-10 00:00:00', '08:17:00', '00:30:00', '0'
'392', '2019-09-11 00:00:00', '05:33:00', '00:30:00', '0'
'393', '2019-09-12 00:00:00', '07:39:00', '00:30:00', '0'
'394', '2019-09-13 00:00:00', '03:49:00', '00:30:00', '0'
'395', '2019-09-16 00:00:00', '06:20:00', '00:30:00', '0'
'396', '2019-09-17 00:00:00', '06:50:00', '00:30:00', '0'
'397', '2019-09-18 00:00:00', '00:00:00', '00:00:00', '2'
'398', '2019-09-19 00:00:00', '07:41:00', '00:30:00', '0'
'399', '2019-09-20 00:00:00', '06:06:00', '00:15:00', '0'
'400', '2019-09-23 00:00:00', '07:00:00', '08:44:00', '0'
'401', '2019-09-24 00:00:00', '06:56:00', '05:53:00', '0'
'402', '2019-09-25 00:00:00', '07:00:00', '07:34:00', '0'
'403', '2019-09-26 00:00:00', '00:00:00', '00:00:00', '2'
'404', '2019-09-27 00:00:00', '00:00:00', '00:00:00', '2'
'405', '2019-09-30 00:00:00', '00:00:00', '00:00:00', '2'
'406', '2019-10-01 00:00:00', '07:33:00', '00:45:00', '0'
'407', '2019-10-02 00:00:00', '08:40:00', '00:45:00', '0'
'408', '2019-10-03 00:00:00', '07:07:00', '00:45:00', '0'
'409', '2019-10-04 00:00:00', '05:58:00', '00:30:00', '0'
